"HGNC.symbol","MGI.symbol"
"TRGC2","Trgv2"
"TRGC2","Trgv1"
"ZNF397","Zfp397"
"CNTNAP3B","Cntnap3"
"LMNB1","Lmnb1"
"TRGV8","Trgc4"
"ISOC1","Isoc1"
"NPAS4","Npas4"
"SYNJ1","Synj1"
"NDUFB4","Ndufb4"
"TRIB2","Trib2"
"MRPL11","Mrpl11"
"NRAP","Nrap"
"DYNC1H1","Dync1h1"
"NOL4","Nol4"
"LRRC58","Lrrc58"
"SPATA31D3","Spata31d1c"
"MTERF3","Mterf3"
"BBS1","Bbs1"
"SFRP4","Sfrp4"
"CNTNAP3","Cntnap3"
"CARD6","Card6"
"MEP1B","Mep1b"
"MTBP","Mtbp"
"GREB1","Greb1"
"RBM14","Rbm14"
"MIR541","Mir541"
"ZNF304","Zfy1"
"ZNF304","Zfy2"
"EFCAB1","Efcab1"
"ZNF548","Zfy1"
"ZNF548","Zfy2"
"CD80","Cd80"
"MYH11","Myh11"
"RBMY1B","Gm29289"
"RBMY1B","Gm21677"
"RBMY1B","Gm21693"
"RBMY1B","Gm21704"
"RBMY1B","Gm21708"
"RBMY1B","Gm3376"
"RBMY1B","Gm4064"
"RBMY1B","Rbmy"
"RBMY1B","Gm10256"
"RBMY1B","Gm10352"
"OR2W1","Olfr1369-ps1"
"OR2W1","Olfr263"
"CHST9","Chst9"
"MIS18A","Mis18a"
"B4GAT1","B4gat1"
"B4GAT1","Gm50388"
"MIR668","Mir668"
"SYCP2L","Sycp2l"
"RBMY1E","Gm29289"
"RBMY1E","Gm21677"
"RBMY1E","Gm21693"
"RBMY1E","Gm21704"
"RBMY1E","Gm21708"
"RBMY1E","Gm3376"
"RBMY1E","Gm4064"
"RBMY1E","Rbmy"
"RBMY1E","Gm10256"
"RBMY1E","Gm10352"
"URAD","Ttr"
"PABIR1","Fam122a"
"ZNF274","Zfp369"
"RNU6-1096P","Gm22543"
"SREBF2","Srebf2"
"ELMO1","Elmo1"
"PELI3","Peli3"
"HEATR5A","Heatr5a"
"TRGV2","Trgc4"
"OR9H1P","Olfr466"
"RNF125","Rnf125"
"GCM2","Gcm2"
"COX17","Cox17"
"COX17","Gm21987"
"FAM177A1","Fam177a"
"FAM177A1","Fam177a2"
"MRAP","Mrap"
"SCAF4","Scaf4"
"DDX3Y","Ddx3y"
"URB1","Urb1"
"GPR156","Gpr156"
"MIR134","Mir134"
"ZNF772","Zfy1"
"ZNF772","Zfy2"
"DCTN4","Dctn4"
"UPK1B","Upk1b"
"EVA1C","Eva1c"
"KRTAP7-1","Krtap7-1"
"ZNF738","Zfp457"
"ZNF738","Zfp595"
"IGSF11","Igsf11"
"CASP7","Casp7"
"SLC12A2","Slc12a2"
"ZNF562","Zfy1"
"ZNF562","Zfy2"
"MOK","Mok"
"GFM2","Gfm2"
"CCDC192","Ccdc192"
"GPR33","Gpr33"
"MARF1","Marf1"
"VSX2","Vsx2"
"RIN1","Rin1"
"ZNF418","Zfy1"
"ZNF418","Zfy2"
"C7","C7"
"RBM22","Rbm22"
"TRGC1","Trgc1"
"TRGC1","Trgv3"
"TRGC1","Trgc3"
"TRGC1","Trgc2"
"TRGC1","Trgv2"
"TRGC1","Trgv1"
"RAMAC","Gm10767"
"TRGV5","Trgc4"
"MIR496","Mir496a"
"SYNDIG1L","Syndig1l"
"KLHL14","Klhl14"
"MAK","Mak"
"ISCA1","AK157302"
"BTN3A1","Gm36028"
"FAM169A","Fam169a"
"ZKSCAN4","Zkscan3"
"ZKSCAN4","Zkscan4"
"NKAPL","Nkapl"
"SLC29A2","Slc29a2"
"POGLUT1","Poglut1"
"EAPP","Eapp"
"SMIM3","Smim3"
"DTNA","Dtna"
"SNX6","Snx6"
"ALDH7A1","Aldh7a1"
"SYCP3","Gm20937"
"SYCP3","Gm31571"
"SYCP3","Gm21366"
"SYCP3","Gm20890"
"SYCP3","Gm21488"
"SYCP3","Gm20894"
"SYCP3","Gm29582"
"SYCP3","Gm28919"
"SYCP3","Gm28998"
"SYCP3","Gm28576"
"SYCP3","Gm20824"
"SYCP3","Gm28510"
"SYCP3","Gm29554"
"SYCP3","Gm30737"
"SYCP3","Gm35134"
"SYCP3","Gm29866"
"ENC1","Enc1"
"PAK1IP1","Pak1ip1"
"SNAI2","Snai2"
"PRKAA1","Prkaa1"
"RBMY1F","Gm29289"
"RBMY1F","Gm21677"
"RBMY1F","Gm21693"
"RBMY1F","Gm21704"
"RBMY1F","Gm21708"
"RBMY1F","Gm3376"
"RBMY1F","Gm4064"
"RBMY1F","Rbmy"
"RBMY1F","Gm10256"
"RBMY1F","Gm10352"
"MYOZ3","Myoz3"
"KDM5D","Kdm5d"
"TRIM27","Trim27"
"RNU1-29P","Gm22220"
"ZNF85","Zfp457"
"ZNF85","Zfp595"
"TIAM1","Tiam1"
"ARHGAP31","Arhgap31"
"NPC2","Npc2"
"SOD1","Sod1"
"TFAP2A","Tfap2a"
"OR14I1","Olfr465-ps1"
"RNU6-449P","Gm26038"
"GPX6","Gpx6"
"GRAMD2B","Gramd3"
"FBN2","Fbn2"
"FOXD4L4","Foxd4"
"CCDC178","Ccdc178"
"ADAMTS19","Adamts19"
"CSNK1G3","Csnk1g3"
"ZNF773","Zfy1"
"ZNF773","Zfy2"
"MEGF10","Megf10"
"GAP43","Gap43"
"HUNK","Hunk"
"RPS18","Rps18-ps6"
"SMC5","Smc5"
"NSA2","Nsa2"
"DTD2","Dtd2"
"C9orf135","1700028P14Rik"
"DIO3","Dio3"
"MARCHF3","Marchf3"
"AREL1","Arel1"
"ADPRH","Adprh"
"RNU6-1174P","Gm22500"
"BRMS1","Brms1"
"SYNPO","Synpo"
"TMEM39A","Tmem39a"
"APBA1","Apba1"
"DLST","Dlst"
"MINAR2","Minar2"
"CDH2","Cdh2"
"ABCD4","Abcd4"
"SPATA31D4","Spata31d1c"
"ARHGAP5","Arhgap5"
"ZNF257","Gm28044"
"ASXL3","Asxl3"
"WDR20","Wdr20"
"NR1I2","Nr1i2"
"HGD","Hgd"
"FOXD4","Foxd4"
"DPP3","Dpp3"
"ZSCAN26","Zscan26"
"PHAX","Phax"
"UTY","Uty"
"COX5B","Cox5b-ps"
"FAM189A2","Fam189a2"
"FOXD4L3","Foxd4"
"FSTL1","Fstl1"
"EPDR1","Epdr1"
"ZNF610","Zfy1"
"ZNF610","Zfy2"
"NDE1","Nde1"
"CFAP298-TCP10L","Cfap298"
"CEP20","Cep20"
"NME8","Nme8"
"ZNF680","Gm28044"
"SPTSSA","Sptssa"
"LSAMP","Lsamp"
"ACTN3","Actn3"
"PPP2R5C","Ppp2r5c"
"BAZ1A","Baz1a"
"IFITM1","Ifitm7"
"CFAP91","Cfap91"
"ZNF792","Zfy1"
"ZNF792","Zfy2"
"TEX43","Tex43"
"CCDC134","Ccdc134"
"ZKSCAN8","Zkscan8"
"CTSF","Ctsf"
"MIR377","Mir377"
"FXN","Fxn"
"KLF9","Klf9"
"TRGV4","Trgc4"
"TRGV3","Trgc4"
"MIR412","Mir412"
"TJP2","Tjp2"
"PROX2","Prox2"
"ZNF608","Zfp608"
"ZNF678","Zfp457"
"ZNF678","Zfp595"
"ISCA2","Isca2"
"CBWD5","Cbwd1"
"ELOVL2","Elovl2"
"NTSR2","Ntsr2"
"ZNF793","Zfy1"
"ZNF793","Zfy2"
"ZNF561","Zfy1"
"ZNF561","Zfy2"
"PTAR1","Ptar1"
"ZNF839","Zfp839"
"MIR410","Mir410"
"PRRC1","Prrc1"
"ZNF586","Zfy1"
"ZNF586","Zfy2"
"KRTAP11-1","Krtap11-1"
"USP9Y","Usp9y"
"YLPM1","Ylpm1"
"ZNF480","Zfy1"
"ZNF480","Zfy2"
"MIR382","Mir382"
"H2AL1RP","H2al2c"
"H2AL1RP","H2al2b"
"ZSCAN12","Zscan12"
"CYCS","Gm10053"
"SRY","Sry"
"ZNF134","Zfy1"
"ZNF134","Zfy2"
"CTXN3","Ctxn3"
"ZNF273","Gm28044"
"MIR381","Mir381"
"ZNF24","Zfp24"
"ZNF736","Zfp457"
"ZNF736","Zfp595"
"ZNF549","Zfy1"
"ZNF549","Zfy2"
"SNORD114-24","Gm22205"
"SNORD114-24","Gm25224"
"CEP120","Cep120"
"MFSD14B","Mfsd14b"
"DOCK8","Dock8"
"MIR154","Mir154"
"GAREM1","Garem1"
"HEXB","Hexb"
"NEDD9","Nedd9"
"UQCRB","Uqcrb"
"TMEM14C","Tmem14c"
"RNF138","Rnf138"
"GCNT2","Gcnt2"
"SNORD114-23","Gm25854"
"ZNF419","Zfy1"
"ZNF419","Zfy2"
"TIMMDC1","Timmdc1"
"RPL37","Rpl37"
"FOXD4L6","Foxd4"
"BMERB1","Bmerb1"
"ZNF552","Zfy1"
"ZNF552","Zfy2"
"MAMDC2","Mamdc2"
"C5orf63","C330018D20Rik"
"PGBD1","Pgbd1"
"EIF2S3B","Eif2s3y"
"ZNF695","Zfp457"
"ZNF695","Zfp595"
"SLC27A6","Slc27a6"
"RNA5S9","n-R5s1"
"LTBP2","Ltbp2"
"CFAP298","Cfap298"
"EGLN3","Egln3"
"B4GALT4","B4galt4"
"GPR141","Gpr141"
"RAMACL","Gm10767"
"RBMY1A1","Gm29289"
"RBMY1A1","Gm21677"
"RBMY1A1","Gm21693"
"RBMY1A1","Gm21704"
"RBMY1A1","Gm21708"
"RBMY1A1","Gm3376"
"RBMY1A1","Gm4064"
"RBMY1A1","Rbmy"
"RBMY1A1","Gm10256"
"RBMY1A1","Gm10352"
"CCDC87","Ccdc87"
"CD74","Cd74"
"GSK3B","Gsk3b"
"EIF2S3","Eif2s3y"
"KRTAP8-1","Krtap8-1"
"CNTNAP3C","Cntnap3"
"VRTN","Vrtn"
"SNORD72","Snord72"
"SMIM13","Smim13"
"ZNF92","Gm28044"
"MIR299","Mir299a"
"NUBPL","Nubpl"
"INO80C","Ino80c"
"RBMY1J","Gm29289"
"RBMY1J","Gm21677"
"RBMY1J","Gm21693"
"RBMY1J","Gm21704"
"RBMY1J","Gm21708"
"RBMY1J","Gm3376"
"RBMY1J","Gm4064"
"RBMY1J","Rbmy"
"RBMY1J","Gm10256"
"RBMY1J","Gm10352"
"PGM5","Pgm5"
"FOXD4L1","Foxd4"
"MIR494","Mir494"
"PTDSS1","Ptdss1"
"RPS14","Rps14"
"CINP","Cinp"
"ZNF837","Zfy1"
"ZNF837","Zfy2"
"MAPRE2","Mapre2"
"MIR484","Mir484"
"ABCC1","Abcc1"
"RBMY1D","Gm29289"
"RBMY1D","Gm21677"
"RBMY1D","Gm21693"
"RBMY1D","Gm21704"
"RBMY1D","Gm21708"
"RBMY1D","Gm3376"
"RBMY1D","Gm4064"
"RBMY1D","Rbmy"
"RBMY1D","Gm10256"
"RBMY1D","Gm10352"
"CBWD6","Cbwd1"
"FOXD4L5","Foxd4"
"ZNF584","Zfy1"
"ZNF584","Zfy2"
"CCS","Ccs"
"ZNF154","Zfy1"
"ZNF154","Zfy2"
"ZNF256","Zfy1"
"ZNF256","Zfy2"
"NLRP4","Nlrp4f"
"ZNF587B","Zfy1"
"ZNF587B","Zfy2"
"ZDHHC24","Zdhhc24"
"ZNF845","Zfp712"
"ZNF845","Zfp759"
"ZNF845","Zfp458"
"HABP2","Habp2"
"RNU6-1136P","Gm25565"
"SNORD114-14","Gm23787"
"ZNF682","Zfp457"
"ZNF682","Zfp595"
"AKAP6","Akap6"
"ZNF723","Gm28044"
"SPATA31D1","Spata31d1c"
"CFL2","Cfl2"
"CHSY3","Chsy3"
"MROH2B","Mroh2b"
"ZNF727","Zfp457"
"ZNF727","Zfp595"
"AOAH","Aoah"
"LRATD1","Lratd1"
"TMEM170B","Tmem170b"
"NPAS3","Npas3"
"SRP54","Srp54a"
"SRP54","Srp54b"
"SRP54","Srp54c"
"TCOF1","Tcof1"
"TRGV1","Trgc4"
"LPIN1","Lpin1"
"PIP5K1B","Pip5k1b"
"NDST1","Ndst1"
"STARD3NL","Stard3nl"
"PLA1A","Pla1a"
"TMEM252","Tmem252"
"CBWD3","Cbwd1"
"MIR323A","Mir323"
"RABL3","Rabl3"
"SLC12A4","Slc12a4"
"CCDC186","Ccdc186"
"A1BG","A1bg"
"ZNF738","Zfp953"
"ZNF738","Gm49345"
"ZNF738","Zfp738"
"CD200R1L","Cd200r1"
"CD200R1L","Cd200r4"
"CD200R1L","Cd200r2"
"CD200R1L","Cd200r3"
"DMRT3","Dmrt3"
"SMDT1","Smdt1"
"DIS3","Dis3"
"PTGER4","Ptger4"
"MIR378A","Mir378a"
"SAP18","Sap18"
"GRPEL2","Grpel2"
"TREML2","Treml2"
"WDR36","Wdr36"
"MAGEE2","Magee2"
"NSMCE2","Nsmce2"
"KLF5","Klf5"
"TRBV28","Trbv29"
"GSDMC","Gsdmc"
"GSDMC","Gsdmc2"
"GSDMC","Gsdmc3"
"PCMTD1","Pcmtd1"
"RNF113A","Rnf113a1"
"SLC25A46","Slc25a46"
"OAZ3","Oaz3"
"ARSI","Arsi"
"CKB","Ckb"
"IGKV1D-12","Igkv11-125"
"IGKV1D-12","Igkv16-104"
"SLC25A5","Slc25a5"
"DPEP2NB","Dpep2nb"
"PNMA6F","Gm18336"
"CST6","Cst6"
"FBXO38","Fbxo38"
"HAS2","Has2"
"ZNF827","Zfp827"
"GAB1","Gab1"
"OVOL1","Ovol1"
"MLIP","Mlip"
"POU4F2","Pou4f2"
"SNORA35","Snora35"
"EIF2B2","Eif2b2"
"FOXD1","Foxd1"
"CLDN6","Cldn6"
"KRBOX1","Zfp65"
"SPATA19","Spata19"
"BIN1","Bin1"
"BTN1A1","Btn1a1"
"ARHGEF28","Arhgef28"
"CDX1","Cdx1"
"ALDOA","Aldoart2"
"PSKH1","Pskh1"
"ZNF257","Gm28041"
"ZNF257","Gm26965"
"ZNF257","Gm10037"
"IGKV1D-37","Igkv11-125"
"IGKV1D-37","Igkv16-104"
"SIX2","Six2"
"PRSS3","Try4"
"PRSS3","Try5"
"PRSS3","Try10"
"PRSS3","Prss3"
"PRSS3","Gm5771"
"PRSS3","Gm10334"
"PRSS3","Prss1"
"PRSS3","Prss2"
"MYO7B","Myo7b"
"C12orf75","1500009L16Rik"
"RCOR1","Rcor1"
"PACS1","Pacs1"
"GPR17","Gpr17"
"ABLIM1","Ablim1"
"NREP","Nrep"
"DNAJC28","Dnajc28"
"F8A2","F8a"
"CTSW","Ctsw"
"SYCP3","Gm10488"
"SYCP3","Gm14632"
"SYCP3","Gm10487"
"SYCP3","Gm10486"
"SYCP3","Gm14819"
"RALGAPA1","Ralgapa1"
"IGKV1D-43","Igkv11-125"
"IGKV1D-43","Igkv16-104"
"ZNF205","Zfp13"
"TTC29","Ttc29"
"TMEM247","Tmem247"
"SERHL2","Serhl"
"RNU6-969P","Gm26181"
"LSM6","Lsm6"
"WASHC5","Washc5"
"OR7A17","Olfr19"
"RNU6-855P","Gm24378"
"RBMX","Rbmxl1"
"EDC4","Edc4"
"PHF11","Phf11a"
"PHF11","Phf11b"
"PHF11","Phf11d"
"PHF11","Phf11c"
"ZNF85","Zfp953"
"ZNF85","Gm49345"
"ZNF85","Zfp738"
"AFAP1L1","Afap1l1"
"TRBV11-3","Trbv14"
"MTERF2","Mterf2"
"RANBP10","Ranbp10"
"PKP2","Pkp2"
"JDP2","Jdp2"
"CRY1","Cry1"
"IGKV1D-13","Igkv11-125"
"IGKV1D-13","Igkv16-104"
"IGKV1D-8","Igkv11-125"
"IGKV1D-8","Igkv16-104"
"PLEKHS1","Plekhs1"
"TMEM151A","Tmem151a"
"MSH2","Msh2"
"FBXO11","Fbxo11"
"USF3","Usf3"
"HTR3B","Htr3b"
"AP5B1","Ap5b1"
"TECPR2","Tecpr2"
"IGKV1-8","Igkv11-125"
"IGKV1-8","Igkv16-104"
"ZNF736","Zfp953"
"ZNF736","Gm49345"
"ZNF736","Zfp738"
"UBE2QL1","Ube2ql1"
"SMAD1","Smad1"
"ZBBX","Zbbx"
"CAB39L","Cab39l"
"ATP6V1A","Atp6v1a"
"TMED10","Tmed10"
"EEF1AKMT1","Eef1akmt1"
"DPEP2","Dpep2"
"EXOC3L4","Exoc3l4"
"PPARGC1B","Ppargc1b"
"ANKRD9","Ankrd9"
"H2AC8","H2ac13"
"H2AC8","H2ac15"
"RFX4","Rfx4"
"SH3TC2","Sh3tc2"
"SAP130","Sap130"
"RBM7","Rbm7"
"CTCF","Ctcf"
"ICE1","Ice1"
"GTPBP8","Gtpbp8"
"SNORA75B","Gm22972"
"IL17B","Il17b"
"TTC14","Ttc14"
"HK1","Hk1"
"ASAP2","Asap2"
"DYNLL1","BC048507"
"ZFP42","Zfp42"
"CEBPD","Cebpd"
"KCTD12","Kctd12"
"RNU2-15P","Gm26020"
"ADRB1","Adrb1"
"PUM3","Pum3"
"CFAP44","Cfap44"
"SRD5A1","Srd5a1"
"LEXM","Lexm"
"AGL","Agl"
"MIIP","Miip"
"TRMT61A","Trmt61a"
"WDR82","Wdr82"
"MIR145","Mir145a"
"PRMT9","Prmt9"
"DSEL","Dsel"
"UXS1","Uxs1"
"NDUFA1","Ndufa1"
"TRIM38","Trim38"
"PAX9","Pax9"
"ANAPC10","Anapc10"
"SNORA80B","Gm22748"
"RNU1-20P","Gm24041"
"MRPS27","Mrps27"
"PDIA6","Pdia6"
"RNU2-3P","Gm22984"
"TSNAXIP1","Tsnaxip1"
"HIVEP1","Hivep1"
"RNU12","Rnu12"
"DERL1","Derl1"
"ZHX2","Zhx2"
"TMEM65","Tmem65"
"RNASEH2C","Rnaseh2c"
"CFAP92","1810020O05Rik"
"PZP","Mug2"
"LATS2","Gm49361"
"LATS2","Lats2"
"SCGN","Scgn"
"ZNF723","Gm28041"
"ZNF723","Gm26965"
"ZNF723","Gm10037"
"LYZ","9530003J23Rik"
"LYZ","Lyz2"
"LYZ","Lyz1"
"PRSS2","Try4"
"PRSS2","Try5"
"PRSS2","Try10"
"PRSS2","Prss3"
"PRSS2","Gm5771"
"PRSS2","Gm10334"
"PRSS2","Prss1"
"PRSS2","Prss2"
"SLC17A4","Slc17a4"
"IFNAR1","Ifnar1"
"CCDC80","Ccdc80"
"NKAP","Nkap"
"ZFP92","Zfp92"
"TRIM59","Trim59"
"TEX29","Tex29"
"FLVCR2","Flvcr2"
"PNMA6E","Gm18336"
"KIAA1210","Gm14569"
"SNTG1","Sntg1"
"GJB6","Gjb6"
"CD200R1","Cd200r1"
"CD200R1","Cd200r4"
"CD200R1","Cd200r2"
"CD200R1","Cd200r3"
"P2RY10","P2ry10"
"MFN2","Mfn2"
"SOWAHD","Sowahd"
"PPM1M","Ppm1m"
"ZCCHC18","Gm45015"
"C11orf68","AI837181"
"RNU6-1088P","Gm26403"
"ADAMTS15","Adamts15"
"SYT4","Syt4"
"NKRF","Nkrf"
"SERPINI1","Serpini1"
"RNF113B","Rnf113a1"
"ARFGAP3","Arfgap3"
"EDNRA","Ednra"
"CXorf49B","4933412E24Rik"
"POM121L2","Pom121l2"
"ZNF185","Zfp185"
"ARL14","Arl14"
"TMEM171","Tmem171"
"NDUFB9","Ndufb9"
"DPEP3","Dpep3"
"MCCC2","Mccc2"
"POLR2D","Polr2d"
"SLC35A3","Slc35a3"
"IGKV2D-29","Igkv2-109"
"FREM3","Frem3"
"RNU2-23P","Gm22984"
"BGN","Bgn"
"SLCO1B3","Slco1b2"
"H3C8","H3c11"
"POLDIP3","Poldip3"
"IFNGR2","Ifngr2"
"STEEP1","C330007P06Rik"
"SLC17A1","Slc17a1"
"ZBTB8OS","Zbtb8os"
"RNU1-108P","Gm22738"
"FAM156B","Tmem29"
"SART1","Sart1"
"MIR135A1","Mir135a-1"
"PDE6A","Pde6a"
"FYB1","Fyb"
"USP13","Usp13"
"FHL1","Fhl4"
"REXO2","Rexo2"
"LONRF3","Lonrf3"
"BTLA","Btla"
"SNORA28","Snora28"
"MAP3K2","Map3k2"
"TREM1","Trem1"
"NDUFA6","Ndufa6"
"MIR448","Mir448"
"USP24","Usp24"
"ZNF366","Zfp366"
"IWS1","Iws1"
"MSH6","Msh6"
"RNU1-33P","Gm22738"
"EPHB6","Ephb6"
"ZDHHC15","Zdhhc15"
"CARMIL2","Carmil2"
"PRKAA2","Prkaa2"
"MARK3","Mark3"
"SLC66A3","Pqlc3"
"IL13RA2","Il13ra2"
"HAUS7","Haus7"
"GIPC2","Gipc2"
"SKA3","Ska3"
"IFNAR2","Ifnar2"
"TAF9B","Taf9b"
"SLC25A43","Slc25a43"
"TAPBP","Tapbp"
"CPM","Cpm"
"GYPB","Gypa"
"SNTB1","Sntb1"
"CTRL","Ctrl"
"IGKV5-2","Igkv17-127"
"IGKV5-2","Igkv17-121"
"HTR3A","Htr3a"
"RANBP9","Ranbp9"
"APEX2","Apex2"
"CSF1R","Csf1r"
"TRBC1","Trbc1"
"TRBC1","Trbc2"
"SLC17A2","Slc17a2"
"OR9A2","Olfr459"
"UBE2A","Ube2a"
"MMP25","Mmp25"
"TTC33","Ttc33"
"YEATS4","Yeats4"
"GFRAL","Gfral"
"ENKD1","Enkd1"
"SON","Son"
"H2BC7","H2bc8"
"CDC14A","Cdc14a"
"IL13RA1","Il13ra1"
"DTNBP1","Dtnbp1"
"CNBP","Cnbp"
"BATF","Batf"
"FAM156A","Tmem29"
"EXO1","Exo1"
"ASIC4","Asic4"
"DCLRE1A","Dclre1a"
"PBDC1","Pbdc1"
"NKX2-1","Nkx2-1"
"MYCBP2","Mycbp2"
"MYC","Myc"
"PCM1","Pcm1"
"KCNV2","Kcnv2"
"IGKV1-39","Igkv11-125"
"IGKV1-39","Igkv16-104"
"PHACTR1","Phactr1"
"NKX2-8","Nkx2-9"
"PTPRK","Ptprk"
"EDN1","Edn1"
"TCP11L2","Tcp11l2"
"TRBC2","Trbc1"
"TRBC2","Trbc2"
"TRBV11-1","Trbv14"
"EPB41L4A","Epb41l4a"
"PEX5L","Pex5l"
"RCBTB1","Rcbtb1"
"ZBTB8A","Zbtb8a"
"MIR187","Mir187"
"OTUD4","Otud4"
"NEXMIF","Nexmif"
"MIR105-2","Mir105"
"MCFD2","Mcfd2"
"BTN2A2","Btn2a2"
"PRR30","Prr30"
"C18orf21","2700062C07Rik"
"KLC2","Klc2"
"RNU6-767P","Gm23656"
"NOL10","Nol10"
"MUS81","Mus81"
"TRBV30","Trbv31"
"PSMA6","Psma6"
"TEX51","Gm35060"
"CSNK1A1","Csnk1a1"
"BICDL2","Bicdl2"
"OLIG1","Olig1"
"KLRG1","Klrg1"
"SNORA17A","Gm22266"
"IGKV2D-30","Igkv2-137"
"IGKV2D-30","Igkv2-112"
"IGSF9B","Igsf9b"
"TINAG","Tinag"
"ARHGEF37","Arhgef37"
"EFCC1","Efcc1"
"CNIH2","Cnih2"
"C9","C9"
"SFT2D3","Sft2d3"
"IGKV1-6","Igkv11-125"
"IGKV1-6","Igkv16-104"
"PPM1F","Ppm1f"
"MIR105-1","Mir105"
"FGF9","Fgf9"
"ZSCAN10","Zscan10"
"TGFB3","Tgfb3"
"FCHO2","Fcho2"
"MLH3","Mlh3"
"CETN2","Cetn2"
"ZBTB22","Zbtb22"
"HFE","Hfe"
"RNU2-53P","Gm22451"
"CD200","Cd200"
"GAL3ST3","Gal3st3"
"PIBF1","Pibf1"
"PRORP","Prorp"
"RGL2","Rgl2"
"RNU6-966P","Gm22542"
"BOC","Boc"
"ACD","Acd"
"S100PBP","S100pbp"
"STARD4","Stard4"
"ZNF34","Zfp760"
"ZNF34","Zfp820"
"ZNF34","Zfp995"
"ZNF34","Zfp942"
"ZNF34","Zfp943"
"ZNF34","Zfp947"
"ZNF34","Zfp994"
"ZNF34","Gm7072"
"ZNF34","Zfp944"
"ZNF34","Zfp946"
"ZNF34","Zfp945"
"ZNF34","Zfp534"
"ZNF34","Zfp984"
"H1-4","H1f4"
"PWWP4","Pwwp4a"
"PWWP4","Pwwp4b"
"NUAK1","Nuak1"
"ZNF200","Zfp65"
"TUBGCP3","Tubgcp3"
"IFI44L","Ifi44l"
"MIR15B","Mir15b"
"POLR3B","Polr3b"
"TSN","Tsn"
"GMPPA","Gmppa"
"DHCR24","Dhcr24"
"TRIML2","Triml2"
"CYP4V2","Gm45753"
"CYP4V2","Cyp4v3"
"MIRLET7G","Mirlet7g"
"SMARCA2","Smarca2"
"M6PR","M6pr"
"RING1","Ring1"
"RNU6-144P","Gm26064"
"SMARCA5","Smarca5"
"H1-6","H1f6"
"IGKV1OR2-108","Igkv20-101-2"
"SRGN","Srgn"
"CYSLTR1","Cysltr1"
"THOC6","Thoc6"
"ERG28","Erg28"
"H2BC8","H2bc6"
"PSPC1","Pspc1"
"PGK1","Pgk1"
"ZDHHC23","Zdhhc23"
"SPINK13","Spink13"
"KCNF1","Kcnf1"
"ATP7A","Atp7a"
"ZNF680","Gm28041"
"ZNF680","Gm26965"
"ZNF680","Gm10037"
"DPH5","Dph5"
"TBC1D7","Tbc1d7"
"SLITRK3","Slitrk3"
"RFX3","Rfx3"
"SHISA2","Shisa2"
"DNAJB4","Dnajb4"
"TRPV5","Trpv5"
"ADCY2","Adcy2"
"NUP107","Nup107"
"TACSTD2","Tacstd2"
"RELA","Rela"
"PLPP3","Plpp3"
"HPCAL1","Hpcal1"
"FOXP4","Foxp4"
"TTC7A","Ttc7"
"ADRB2","Adrb2"
"DOCK11","Dock11"
"RIIAD1","Riiad1"
"TDRD1","Tdrd1"
"KLF12","Klf12"
"AGRP","Agrp"
"ZBTB16","Zbtb16"
